CO2,TVOC,Temperature
408,1,19.381414
408,1,19.381414
0,0,19.381414
0,0,19.381414
0,0,19.381414
400,0,19.381414
403,0,19.381414
403,0,19.381414
403,0,19.963636
408,1,19.629377
446,7,17.862438
446,7,17.862438
0,0,17.862438
0,0,19.963636
0,0,19.381414
400,0,19.381414
400,0,19.629377
402,0,19.381414
407,1,19.381414
407,1,19.629377
407,1,17.862438
410,1,19.629377
416,2,19.963636
416,2,17.862438
420,3,19.629377
424,3,19.963636
420,3,17.862438
420,3,19.629377
420,3,19.629377
424,3,20.473045
427,4,19.629377
424,3,17.862438
424,3,19.629377
427,4,19.629377
427,4,17.862438
